1,-25.473
2,-18.973
3,-15.573
4,-13.173
5,-11.273
6,-9.573
7,-8.273
8,-7.073
9,-6.073
10,-5.173
11,-4.373
12,-3.673
13,-2.973
14,-2.273
15,-1.673
16,-1.073
17,-0.573
18,-0.073
19,0.427
20,0.827
21,1.227
22,1.627
23,2.027
24,2.327
25,2.727
26,3.027
27,3.327
28,3.627
29,3.927
30,4.227
31,4.427
32,4.727
33,5.027
34,5.227
35,5.527
36,5.727
37,6.027
38,6.227
39,6.427
40,6.627
41,6.827
42,7.127
43,7.227
44,7.427
45,7.627
46,7.827
47,8.027
48,8.227
49,8.327
50,8.527
51,8.727
52,8.827
53,9.027
54,9.127
55,9.327
56,9.527
57,9.627
58,9.727
59,9.927
60,10.027
61,10.227
62,10.327
63,10.427
64,10.527
65,10.727
66,10.827
67,10.927
68,11.127
69,11.227
70,11.327
71,11.427
72,11.627
73,11.727
74,11.827
75,11.927
76,12.027
77,12.127
78,12.227
79,12.327
80,12.427
81,12.527
82,12.627
83,12.727
84,12.827
85,12.927
86,13.027
87,13.127
88,13.227
89,13.327
90,13.427
91,13.527
92,13.627
93,13.727
94,13.727
95,13.827
96,13.927
97,14.027
98,14.127
99,14.227
100,14.227
101,14.327
102,14.427
103,14.527
104,14.627
105,14.727
106,14.727
107,14.827
108,14.927
109,14.927
110,15.027
111,15.127
112,15.227
113,15.227
114,15.327
115,15.427
116,15.427
117,15.527
118,15.527
119,15.627
120,15.727
121,15.727
122,15.827
123,15.927
124,15.927
125,16.027
126,16.027
127,16.127
128,16.227
129,16.227
130,16.327
131,16.327
132,16.427
133,16.527
134,16.527
135,16.627
136,16.627
137,16.727
138,16.727
139,16.827
140,16.827
141,16.927
142,16.927
143,17.027
144,17.027
145,17.127
146,17.227
147,17.227
148,17.227
149,17.327
150,17.327
151,17.427
152,17.427
153,17.527
154,17.527
155,17.627
156,17.627
157,17.627
158,17.727
159,17.727
160,17.827
161,17.827
162,17.827
163,17.927
164,17.927
165,18.027
166,18.027
167,18.127
168,18.127
169,18.127
170,18.227
171,18.227
172,18.327
173,18.327
174,18.327
175,18.427
176,18.427
177,18.427
178,18.527
179,18.527
180,18.527
181,18.627
182,18.627
183,18.627
184,18.727
185,18.727
186,18.727
187,18.727
188,18.827
189,18.827
190,18.827
191,18.927
192,18.927
193,18.927
194,18.927
195,19.027
196,19.027
197,19.027
198,19.127
199,19.127
200,19.127
201,19.127
202,19.227
203,19.227
204,19.227
205,19.227
206,19.327
207,19.327
208,19.327
209,19.327
210,19.327
211,19.427
212,19.427
213,19.427
214,19.427
215,19.527
216,19.527
217,19.527
218,19.527
219,19.527
220,19.527
221,19.627
222,19.627
223,19.627
224,19.627
225,19.627
226,19.727
227,19.727
228,19.727
229,19.727
230,19.727
231,19.827
232,19.827
233,19.827
234,19.827
235,19.827
236,19.827
237,19.927
238,19.927
239,19.927
240,19.927
241,19.927
242,19.927
243,20.027
244,20.027
245,20.027
246,20.027
247,20.027
248,20.027
